OMIM	HGNC Approved Gene Symbol	Cytogenetic location
216300	NA	NA
216330	NA	NA
216340	NA	NA
216360	NA	NA
216400	NA	NA
216411	NA	NA
216550	NA	NA
216700	NA	NA
216800	NA	NA
216820	NA	NA
216900	NA	NA
216920	NA	NA
216950	NA	NA
217000	NA	NA
217030	CFI	4q25
217050	C6	5p13.1
217070	C7	5p13.1
217080	NA	NA
217085	NA	NA
217090	NA	NA
217095	NA	NA
217100	NA	NA
217150	NA	NA
217200	NA	NA
217300	NA	NA
217400	NA	NA
217500	NA	NA
217520	NA	NA
217600	NA	NA
217700	NA	NA
217800	NA	NA
217980	NA	NA
217990	NA	NA
218000	NA	NA
218010	NA	NA
218030	NA	NA
218040	NA	NA
218050	NA	NA
218090	NA	NA
218100	NA	NA
218200	NA	NA
218300	NA	NA
218330	NA	NA
218340	NA	NA
218350	NA	NA
218400	NA	NA
218450	NA	NA
218455	NA	NA
218500	NA	NA
218530	NA	NA
218550	NA	NA
218600	NA	NA
218649	NA	NA
218650	NA	NA
218670	NA	NA
218700	NA	NA
218800	NA	NA
218900	NA	NA
219000	NA	NA
219050	NA	NA
219070	NA	NA
219080	NA	NA
219090	NA	NA
219095	NA	NA
219100	NA	NA
219150	NA	NA
219200	NA	NA
219250	NA	NA
219300	NA	NA
219400	NA	NA
219500	NA	NA
219550	NA	NA
219600	NA	NA
219700	NA	NA
219721	NA	NA
219730	NA	NA
219750	NA	NA
219800	NA	NA
219900	NA	NA
220100	NA	NA
220110	NA	NA
220111	NA	NA
220120	NA	NA
220150	NA	NA
220200	NA	NA
220210	NA	NA
220219	NA	NA
220220	NA	NA
220290	NA	NA
220300	NA	NA
220400	NA	NA
220500	NA	NA
220600	NA	NA
220700	NA	NA
220800	NA	NA
220900	NA	NA
221000	NA	NA
221200	NA	NA
221300	NA	NA
221320	NA	NA
221350	NA	NA
221400	NA	NA
221500	NA	NA
221600	NA	NA
221650	NA	NA
221700	NA	NA
221740	NA	NA
221745	NA	NA
221750	NA	NA
221760	NA	NA
221770	NA	NA
221780	NA	NA
221790	NA	NA
221800	NA	NA
221810	NA	NA
221820	NA	NA
221900	NA	NA
221950	NA	NA
221995	NA	NA
222000	NA	NA
222100	NA	NA
222300	NA	NA
222350	NA	NA
222400	NA	NA
222448	NA	NA
222470	NA	NA
222500	NA	NA
222600	NA	NA
222690	NA	NA
222700	NA	NA
222730	NA	NA
222745	DECR1	8q21.3
222748	NA	NA
222760	NA	NA
222765	NA	NA
222800	NA	NA
222900	NA	NA
223000	NA	NA
223100	NA	NA
223200	NA	NA
223300	NA	NA
223320	NA	NA
223330	NA	NA
223340	NA	NA
223350	NA	NA
223360	NA	NA
223370	NA	NA
223380	NA	NA
223400	NA	NA
223500	NA	NA
223540	NA	NA
223550	NA	NA
223600	NA	NA
223610	NA	NA
223800	NA	NA
223900	NA	NA
224000	NA	NA
224050	NA	NA
224100	NA	NA
224120	NA	NA
224200	NA	NA
224230	NA	NA
224250	NA	NA
224300	NA	NA
224400	NA	NA
224410	NA	NA
224500	NA	NA
224550	NA	NA
224570	NA	NA
224600	NA	NA
224690	NA	NA
224700	NA	NA
224750	NA	NA
224800	NA	NA
224900	NA	NA
225000	NA	NA
225040	NA	NA
225050	NA	NA
225060	NA	NA
225100	NA	NA
225200	NA	NA
225250	NA	NA
225280	NA	NA
225290	NA	NA
225300	NA	NA
225310	NA	NA
225320	NA	NA
225350	NA	NA
225360	NA	NA
225400	NA	NA
225410	NA	NA
225450	NA	NA
225500	NA	NA
225700	NA	NA
225740	NA	NA
225750	NA	NA
225753	NA	NA
225755	NA	NA
225790	NA	NA
225795	NA	NA
226000	NA	NA
226100	NA	NA
226110	NA	NA
226150	NA	NA
226200	NA	NA
226300	NA	NA
226350	NA	NA
226400	NA	NA
226440	NA	NA
226450	NA	NA
226500	NA	NA
226600	NA	NA
226650	NA	NA
226670	NA	NA
226700	NA	NA
226730	NA	NA
226735	NA	NA
226750	NA	NA
226800	NA	NA
226810	NA	NA
226850	NA	NA
226900	NA	NA
226950	NA	NA
226960	NA	NA
226980	NA	NA
226985	NA	NA
226990	NA	NA
227000	NA	NA
227010	NA	NA
227050	NA	NA
227090	NA	NA
227100	NA	NA
227150	NA	NA
227200	NA	NA
227210	NA	NA
227220	NA	NA
227240	NA	NA
227250	NA	NA
227255	NA	NA
227260	NA	NA
227270	NA	NA
227280	NA	NA
227290	NA	NA
227295	NA	NA
227300	NA	NA
227310	NA	NA
227320	NA	NA
227330	NA	NA
227400	NA	NA
227500	NA	NA
227600	NA	NA
227645	NA	NA
227646	NA	NA
227650	NA	NA
227660	NA	NA
227700	NA	NA
227800	NA	NA
227810	NA	NA
227850	NA	NA
228000	NA	NA
228020	NA	NA
228100	NA	NA
228200	NA	NA
228250	NA	NA
228300	NA	NA
228355	NA	NA
228400	NA	NA
228520	NA	NA
228550	NA	NA
228560	NA	NA
228600	NA	NA
228800	NA	NA
228900	NA	NA
228930	NA	NA
228940	NA	NA
228960	NA	NA
228980	NA	NA
228990	NA	NA
229000	KLKB1	4q35
229045	NA	NA
229050	NA	NA
229070	NA	NA
229100	NA	NA
229120	NA	NA
229150	NA	NA
229200	NA	NA
229230	NA	NA
229250	NA	NA
229300	NA	NA
229310	NA	NA
229400	NA	NA
229500	NA	NA
229600	NA	NA
229650	NA	NA
229700	NA	NA
229800	NA	NA
229850	NA	NA
229900	NA	NA
229950	NA	NA
230000	NA	NA
230200	NA	NA
230300	NA	NA
230350	NA	NA
230400	NA	NA
230430	NA	NA
230450	NA	NA
230500	NA	NA
230600	NA	NA
230650	NA	NA
230700	NA	NA
230710	NA	NA
230740	NA	NA
230750	NA	NA
230800	NA	NA
230900	NA	NA
231000	NA	NA
231005	NA	NA
231050	NA	NA
231060	NA	NA
231070	NA	NA
231080	NA	NA
231090	NA	NA
231095	NA	NA
231100	NA	NA
231200	NA	NA
231300	NA	NA
231400	NA	NA
231500	NA	NA
231520	NA	NA
231530	NA	NA
231550	NA	NA
231610	NA	NA
231630	NA	NA
231670	NA	NA
231675	ETFDH	4q32-q35
231680	NA	NA
231690	NA	NA
231900	NA	NA
231950	NA	NA
231970	NA	NA
232000	PCCA	13q32
232050	PCCB	3q21-q22
232200	NA	NA
232210	NA	NA
232220	NA	NA
232240	NA	NA
232300	NA	NA
232330	NA	NA
232400	NA	NA
232500	NA	NA
232600	NA	NA
232700	NA	NA
232800	NA	NA
232900	NA	NA
233100	NA	NA
233270	NA	NA
233300	NA	NA
233400	NA	NA
233420	NA	NA
233430	NA	NA
233450	NA	NA
233500	NA	NA
233600	NA	NA
233650	NA	NA
233670	NA	NA
233690	NA	NA
233700	NA	NA
233710	NA	NA
233800	NA	NA
233805	NA	NA
233810	NA	NA
233910	NA	NA
234000	NA	NA
234030	NA	NA
234050	NA	NA
234100	NA	NA
234200	NA	NA
234250	NA	NA
234280	NA	NA
234300	NA	NA
234350	NA	NA
234500	NA	NA
234580	NA	NA
234700	NA	NA
234750	NA	NA
234800	NA	NA
234810	NA	NA
234820	NA	NA
235000	NA	NA
235200	NA	NA
235255	NA	NA
235360	NA	NA
235370	NA	NA
235400	NA	NA
235500	NA	NA
235510	NA	NA
235550	NA	NA
235555	NA	NA
235600	NA	NA
235700	NA	NA
235730	NA	NA
235735	NA	NA
235740	NA	NA
235750	NA	NA
235760	NA	NA
235800	NA	NA
235830	NA	NA
235900	NA	NA
236000	NA	NA
236100	NA	NA
236110	NA	NA
236130	NA	NA
236200	NA	NA
236250	NA	NA
236270	NA	NA
236300	NA	NA
236400	NA	NA
236410	NA	NA
236450	NA	NA
236490	NA	NA
236500	NA	NA
236600	NA	NA
236635	NA	NA
236640	NA	NA
236660	NA	NA
236670	NA	NA
236680	NA	NA
236690	NA	NA
236700	NA	NA
236730	NA	NA
236750	NA	NA
236792	NA	NA
236795	NA	NA
236800	NA	NA
236900	NA	NA
237000	NA	NA
237100	NA	NA
237300	NA	NA
237310	NA	NA
237400	NA	NA
237450	NA	NA
237500	NA	NA
237550	NA	NA
237800	NA	NA
237900	NA	NA
238200	NA	NA
238300	GLDC	9p22
238310	AMT	3p21.31
238320	NA	NA
238330	GCSH	16q23.2
238331	DLD	7q31-q32
238340	NA	NA
238350	NA	NA
238400	NA	NA
238500	NA	NA
238600	NA	NA
238700	NA	NA
238710	NA	NA
238750	NA	NA
238800	NA	NA
238950	NA	NA
238970	NA	NA
239000	NA	NA
239100	NA	NA
239199	NA	NA
239200	NA	NA
239300	NA	NA
239350	NA	NA
239400	NA	NA
239500	NA	NA
239510	NA	NA
239710	NA	NA
239711	NA	NA
239800	NA	NA
239840	NA	NA
239850	NA	NA
239900	NA	NA
240000	NA	NA
240100	NA	NA
240150	NA	NA
240200	NA	NA
240300	NA	NA
240400	NA	NA
240500	NA	NA
240600	NA	NA
240800	NA	NA
240900	NA	NA
240950	NA	NA
241000	NA	NA
241080	NA	NA
241090	NA	NA
241100	NA	NA
241120	NA	NA
241150	NA	NA
241200	NA	NA
241310	NA	NA
241400	NA	NA
241410	NA	NA
241500	NA	NA
241510	NA	NA
241519	NA	NA
241520	NA	NA
241530	NA	NA
241540	NA	NA
241550	NA	NA
241600	NA	NA
241750	NA	NA
241760	NA	NA
241800	NA	NA
241850	NA	NA
241900	NA	NA
242050	NA	NA
242100	NA	NA
242150	NA	NA
242170	NA	NA
242300	NA	NA
242400	NA	NA
242500	NA	NA
242510	NA	NA
242520	NA	NA
242530	NA	NA
242550	NA	NA
242600	NA	NA
242650	NA	NA
242670	NA	NA
242680	NA	NA
242700	NA	NA
242800	NA	NA
242840	NA	NA
242850	NA	NA
242860	NA	NA
242870	NA	NA
242880	NA	NA
242890	NA	NA
242900	NA	NA
243000	NA	NA
243050	NA	NA
243060	NA	NA
243080	NA	NA
243095	NA	NA
243100	NA	NA
243110	NA	NA
243150	NA	NA
243180	NA	NA
243185	NA	NA
243200	NA	NA
243300	NA	NA
243305	INVS	9q31
243310	NA	NA
243320	NA	NA
243340	NA	NA
243400	NA	NA
243440	NA	NA
243450	NA	NA
243500	NA	NA
243600	NA	NA
243605	NA	NA
243700	NA	NA
243800	NA	NA
243910	NA	NA
244100	NA	NA
244200	NA	NA
244300	NA	NA
244400	NA	NA
244450	NA	NA
244460	NA	NA
244500	NA	NA
244510	NA	NA
244600	NA	NA
244850	NA	NA
245000	NA	NA
245010	NA	NA
245050	NA	NA
245100	NA	NA
245130	NA	NA
245150	NA	NA
245160	NA	NA
245180	NA	NA
245190	NA	NA
245200	NA	NA
245210	NA	NA
245300	NA	NA
245340	NA	NA
245348	NA	NA
245349	NA	NA
245400	NA	NA
245450	NA	NA
245480	NA	NA
245500	NA	NA
245550	NA	NA
245552	NA	NA
245570	NA	NA
245590	NA	NA
245600	NA	NA
245650	NA	NA
245660	NA	NA
245800	NA	NA
245900	NA	NA
246000	NA	NA
246200	NA	NA
246300	NA	NA
246400	NA	NA
246450	NA	NA
246470	NA	NA
246490	NA	NA
246500	NA	NA
246530	LTC4S	5q35
246550	NA	NA
246555	NA	NA
246560	NA	NA
246570	NA	NA
246600	PNLIP	10q25.3
246650	NA	NA
246700	NA	NA
246800	NA	NA
246900	NA	NA
247100	NA	NA
247150	NA	NA
247200	NA	NA
247400	NA	NA
247410	NA	NA
247420	NA	NA
247430	NA	NA
247440	NA	NA
247450	NA	NA
247610	NA	NA
247630	NA	NA
247640	NA	NA
247650	NA	NA
247800	NA	NA
247900	NA	NA
247950	NA	NA
247980	LIPB	16
247990	NA	NA
248000	NA	NA
248010	NA	NA
248100	NA	NA
248110	NA	NA
248190	NA	NA
248200	NA	NA
248250	NA	NA
248260	NA	NA
248300	NA	NA
248310	NA	NA
248340	NA	NA
248350	NA	NA
248360	NA	NA
248370	NA	NA
248390	NA	NA
248400	NA	NA
248450	NA	NA
248500	NA	NA
248510	NA	NA
248600	NA	NA
248610	DBT	1p31
248611	BCKDHB	6q14.1
248700	NA	NA
248750	NA	NA
248760	NA	NA
248770	NA	NA
248800	NA	NA
248810	NA	NA
248900	NA	NA
248910	NA	NA
248950	NA	NA
249000	NA	NA
249100	NA	NA
249210	NA	NA
249230	NA	NA
249240	NA	NA
249270	NA	NA
249300	NA	NA
249310	NA	NA
249400	NA	NA
249420	NA	NA
249500	NA	NA
249599	NA	NA
249600	NA	NA
249620	NA	NA
249630	NA	NA
249650	NA	NA
249660	NA	NA
249670	NA	NA
249700	NA	NA
249710	NA	NA
249800	NA	NA
249900	NA	NA
250100	NA	NA
250215	NA	NA
250220	NA	NA
250230	NA	NA
250250	NA	NA
250300	NA	NA
250400	NA	NA
250410	NA	NA
250420	NA	NA
250450	NA	NA
250460	NA	NA
250500	NA	NA
250600	NA	NA
250620	NA	NA
250650	NA	NA
250700	NA	NA
250790	NA	NA
250800	NA	NA
250850	NA	NA
250900	NA	NA
250940	NA	NA
250950	NA	NA
250951	NA	NA
251000	NA	NA
251100	NA	NA
251110	NA	NA
251120	NA	NA
251170	MVK	12q24
251190	NA	NA
251200	NA	NA
251220	NA	NA
251230	NA	NA
251240	NA	NA
251250	NA	NA
251255	NA	NA
251260	NA	NA
251270	NA	NA
251280	NA	NA
251290	NA	NA
251300	NA	NA
251400	NA	NA
251450	NA	NA
251455	NA	NA
251500	NA	NA
251505	NA	NA
251600	NA	NA
251700	NA	NA
251750	NA	NA
251800	NA	NA
251850	NA	NA
251880	NA	NA
251890	NA	NA
251900	NA	NA
251945	NA	NA
251950	NA	NA
252010	NA	NA
252011	NA	NA
252030	NA	NA
252100	NA	NA
252150	NA	NA
252160	NA	NA
252200	NA	NA
252250	NA	NA
252270	NA	NA
252300	NA	NA
252320	NA	NA
252350	NA	NA
252500	NA	NA
252600	NA	NA
252605	NA	NA
252650	NA	NA
252700	NA	NA
252800	IDUA	4p16.3
252900	NA	NA
252920	NA	NA
252930	NA	NA
252940	NA	NA
253000	NA	NA
253010	NA	NA
253200	NA	NA
253220	NA	NA
253230	NA	NA
253240	NA	NA
253250	NA	NA
253260	NA	NA
253270	NA	NA
253280	NA	NA
253290	NA	NA
253300	NA	NA
253310	NA	NA
253320	NA	NA
253400	NA	NA
253500	NA	NA
253550	NA	NA
253590	NA	NA
253600	NA	NA
253601	NA	NA
253700	NA	NA
253800	NA	NA
253850	NA	NA
253900	NA	NA
254000	NA	NA
254090	NA	NA
254100	NA	NA
254110	NA	NA
254120	NA	NA
254130	NA	NA
254150	NA	NA
254190	NA	NA
254195	NA	NA
254200	NA	NA
254210	NA	NA
254300	NA	NA
254400	NA	NA
254450	NA	NA
254500	NA	NA
254600	NA	NA
254700	NA	NA
254770	NA	NA
254780	NA	NA
254800	NA	NA
254900	NA	NA
254940	NA	NA
254950	NA	NA
254960	NA	NA
255100	NA	NA
255110	NA	NA
255120	NA	NA
255125	NA	NA
255140	NA	NA
255160	NA	NA
255170	NA	NA
255200	NA	NA
255300	NA	NA
255310	NA	NA
255320	NA	NA
255500	NA	NA
255600	NA	NA
255700	NA	NA
255710	NA	NA
255800	NA	NA
255900	NA	NA
255960	NA	NA
255980	NA	NA
255990	NA	NA
255995	NA	NA
256000	NA	NA
256020	NA	NA
256030	NA	NA
256040	NA	NA
256050	NA	NA
256100	NA	NA
256120	NA	NA
256150	NA	NA
256200	NA	NA
256300	NA	NA
256340	NA	NA
256350	NA	NA
256370	NA	NA
256450	NA	NA
256500	NA	NA
256520	NA	NA
256540	NA	NA
256550	NA	NA
256600	NA	NA
256690	NA	NA
256700	NA	NA
256710	NA	NA
256720	NA	NA
256730	NA	NA
256731	NA	NA
256800	NA	NA
256810	NA	NA
256840	NA	NA
256850	NA	NA
256851	NA	NA
256855	NA	NA
256860	NA	NA
256870	NA	NA
257000	NA	NA
257050	NA	NA
257100	NA	NA
257150	NA	NA
257200	NA	NA
257220	NA	NA
257250	NA	NA
257270	NA	NA
257300	NA	NA
257320	NA	NA
257350	NA	NA
257400	NA	NA
257500	NA	NA
257550	NA	NA
257600	NA	NA
257790	NA	NA
257800	NA	NA
257850	NA	NA
257910	NA	NA
257920	NA	NA
257950	NA	NA
257960	NA	NA
257970	NA	NA
257980	NA	NA
258040	NA	NA
258100	NA	NA
258120	NA	NA
258150	NA	NA
258200	NA	NA
258300	NA	NA
258315	NA	NA
258320	NA	NA
258360	NA	NA
258400	NA	NA
258450	NA	NA
258470	NA	NA
258480	NA	NA
258500	NA	NA
258501	NA	NA
258650	NA	NA
258660	NA	NA
258700	NA	NA
258800	NA	NA
258840	NA	NA
258850	NA	NA
258860	NA	NA
258865	NA	NA
258870	NA	NA
258900	NA	NA
258920	NA	NA
259050	NA	NA
259100	NA	NA
259200	NA	NA
259250	NA	NA
259270	NA	NA
259400	NA	NA
259410	NA	NA
259420	NA	NA
259440	NA	NA
259450	NA	NA
259500	NA	NA
259550	NA	NA
259600	NA	NA
259610	NA	NA
259650	NA	NA
259660	NA	NA
259680	NA	NA
259690	NA	NA
259700	NA	NA
259710	NA	NA
259720	NA	NA
259730	NA	NA
259750	NA	NA
259770	NA	NA
259775	NA	NA
259780	NA	NA
259900	NA	NA
260000	NA	NA
260005	NA	NA
260100	NA	NA
260130	NA	NA
260150	NA	NA
260200	NA	NA
260300	NA	NA
260350	NA	NA
260370	NA	NA
260400	NA	NA
260450	NA	NA
260470	NA	NA
260480	NA	NA
260490	NA	NA
260500	NA	NA
260530	NA	NA
260540	NA	NA
260555	NA	NA
260565	NA	NA
260570	NA	NA
260600	NA	NA
260650	NA	NA
260660	NA	NA
260800	NA	NA
260900	NA	NA
260910	NA	NA
260920	NA	NA
260950	NA	NA
260970	NA	NA
260980	NA	NA
261000	NA	NA
261100	NA	NA
261400	NA	NA
261500	NA	NA
261510	NA	NA
261515	NA	NA
261540	NA	NA
261550	NA	NA
261560	NA	NA
261575	NA	NA
261590	NA	NA
261600	NA	NA
261630	NA	NA
261640	NA	NA
261650	NA	NA
261660	NA	NA
261670	NA	NA
261680	NA	NA
261740	NA	NA
261750	NA	NA
261800	NA	NA
261900	NA	NA
261990	NA	NA
262000	NA	NA
262020	NA	NA
262190	NA	NA
262300	NA	NA
262350	NA	NA
262400	NA	NA
262500	NA	NA
262600	NA	NA
262650	NA	NA
262700	NA	NA
262710	NA	NA
262780	NA	NA
262800	NA	NA
262850	NA	NA
262875	NA	NA
262890	NA	NA
262900	NA	NA
263000	NA	NA
263100	NA	NA
263200	NA	NA
263210	NA	NA
263300	NA	NA
263400	NA	NA
263450	NA	NA
263510	NA	NA
263520	NA	NA
263530	NA	NA
263540	NA	NA
263550	NA	NA
263560	NA	NA
263570	NA	NA
263600	NA	NA
263610	NA	NA
263620	NA	NA
263630	NA	NA
263650	NA	NA
263700	NA	NA
263750	NA	NA
263800	NA	NA
264010	NA	NA
264050	NA	NA
264060	NA	NA
264070	NA	NA
264080	NA	NA
264090	NA	NA
264110	NA	NA
264120	NA	NA
264140	NA	NA
264150	NA	NA
264160	NA	NA
264180	NA	NA
264200	NA	NA
264270	NA	NA
264300	NA	NA
264350	NA	NA
264420	NA	NA
264450	NA	NA
264470	NA	NA
264475	NA	NA
264480	NA	NA
264500	NA	NA
264600	NA	NA
264700	NA	NA
264800	NA	NA
264810	NA	NA
264900	F11	4q35
265000	NA	NA
265050	NA	NA
265100	NA	NA
265120	NA	NA
265140	NA	NA
265150	NA	NA
265200	NA	NA
265300	NA	NA
265380	NA	NA
265400	NA	NA
265430	NA	NA
265450	NA	NA
265500	NA	NA
265600	NA	NA
265800	NA	NA
265850	NA	NA
265880	NA	NA
265900	NA	NA
265950	NA	NA
266100	NA	NA
266120	NA	NA
266130	NA	NA
266140	NA	NA
266150	NA	NA
266200	NA	NA
266250	NA	NA
266255	NA	NA
266265	NA	NA
266270	NA	NA
266280	NA	NA
266300	NA	NA
266350	NA	NA
266400	NA	NA
266500	NA	NA
266510	NA	NA
266600	NA	NA
266810	NA	NA
266900	NA	NA
266910	NA	NA
266920	NA	NA
267000	NA	NA
267010	NA	NA
267200	NA	NA
267300	NA	NA
267400	NA	NA
267430	NA	NA
267450	NA	NA
267480	NA	NA
267500	NA	NA
267700	NA	NA
267730	NA	NA
267740	NA	NA
267750	NA	NA
267760	NA	NA
267800	NA	NA
267900	NA	NA
268000	NA	NA
268010	NA	NA
268020	NA	NA
268025	NA	NA
268030	NA	NA
268040	NA	NA
268050	NA	NA
268060	NA	NA
268080	NA	NA
268100	NA	NA
268130	NA	NA
268150	NA	NA
268200	NA	NA
268210	NA	NA
268220	NA	NA
268240	NA	NA
268250	NA	NA
268300	NA	NA
268305	NA	NA
268310	NA	NA
268315	NA	NA
268320	NA	NA
268400	NA	NA
268500	NA	NA
268650	NA	NA
268670	NA	NA
268700	NA	NA
268800	NA	NA
268850	NA	NA
268900	NA	NA
268950	NA	NA
269000	NA	NA
269150	NA	NA
269160	NA	NA
269200	NA	NA
269250	NA	NA
269300	NA	NA
269400	NA	NA
269500	NA	NA
269600	NA	NA
269630	NA	NA
269650	NA	NA
269700	NA	NA
269720	NA	NA
269800	NA	NA
269840	NA	NA
269860	NA	NA
269870	NA	NA
269880	NA	NA
269920	NA	NA
269921	NA	NA
269950	NA	NA
270050	NA	NA
270100	NA	NA
270150	NA	NA
270200	NA	NA
270220	NA	NA
270230	NA	NA
270240	NA	NA
270300	NA	NA
270350	NA	NA
270400	NA	NA
270420	NA	NA
270425	NA	NA
270450	NA	NA
270460	NA	NA
270500	NA	NA
270550	NA	NA
270600	NA	NA
270680	NA	NA
270685	NA	NA
270700	NA	NA
270710	NA	NA
270750	NA	NA
270800	NA	NA
270805	NA	NA
270850	NA	NA
270900	NA	NA
270950	NA	NA
270960	NA	NA
270970	NA	NA
271100	NA	NA
271109	NA	NA
271110	NA	NA
271120	NA	NA
271150	NA	NA
271200	NA	NA
271220	NA	NA
271225	NA	NA
271245	NA	NA
271250	NA	NA
271270	NA	NA
271310	NA	NA
271320	NA	NA
271322	NA	NA
271400	NA	NA
271500	NA	NA
271510	NA	NA
271520	NA	NA
271530	NA	NA
271550	NA	NA
271600	NA	NA
271620	NA	NA
271630	NA	NA
271640	NA	NA
271650	NA	NA
271665	NA	NA
271700	NA	NA
271900	NA	NA
271930	NA	NA
271950	NA	NA
271960	NA	NA
271980	NA	NA
272000	NA	NA
272100	NA	NA
272120	NA	NA
272150	NA	NA
272200	NA	NA
272300	NA	NA
272350	NA	NA
272370	NA	NA
272430	NA	NA
272440	NA	NA
272450	NA	NA
272460	NA	NA
272480	NA	NA
272500	NA	NA
272550	NA	NA
272600	NA	NA
272620	NA	NA
272650	NA	NA
272700	NA	NA
272750	NA	NA
272800	NA	NA
272950	NA	NA
272980	NA	NA
273000	NA	NA
273050	NA	NA
273120	NA	NA
273150	NA	NA
273250	NA	NA
273300	NA	NA
273350	NA	NA
273390	NA	NA
273395	NA	NA
273400	NA	NA
273490	NA	NA
273600	NA	NA
273680	NA	NA
273730	NA	NA
273740	NA	NA
273750	NA	NA
273770	NA	NA
273800	NA	NA
273900	NA	NA
274000	NA	NA
274150	NA	NA
274180	TBXAS1	7q34-q35
274190	NA	NA
274200	NA	NA
274205	NA	NA
274210	NA	NA
274230	NA	NA
274240	NA	NA
274260	NA	NA
274265	NA	NA
274270	NA	NA
274300	NA	NA
274400	NA	NA
274500	NA	NA
274600	NA	NA
274700	NA	NA
274800	NA	NA
274900	NA	NA
275000	NA	NA
275100	NA	NA
275120	NA	NA
275190	NA	NA
275200	NA	NA
275210	NA	NA
275220	NA	NA
275230	NA	NA
275240	NA	NA
275250	NA	NA
275300	NA	NA
275350	NA	NA
275355	NA	NA
275360	TREH	11q23.3
275370	NA	NA
275400	NA	NA
275450	NA	NA
275500	NA	NA
275550	NA	NA
275595	NA	NA
275600	NA	NA
275630	NA	NA
275650	NA	NA
275900	NA	NA
276000	PRSS1	7q34
276100	NA	NA
276200	NA	NA
276300	NA	NA
276400	NA	NA
276410	NA	NA
276500	NA	NA
276600	NA	NA
276700	NA	NA
276710	NA	NA
276800	NA	NA
276820	NA	NA
276821	NA	NA
276822	NA	NA
276850	NA	NA
276880	NA	NA
276900	NA	NA
276901	NA	NA
276902	NA	NA
276903	MYO7A	11q13.5
276904	NA	NA
276905	NA	NA
276950	NA	NA
277000	NA	NA
277100	NA	NA
277150	NA	NA
277170	NA	NA
277175	NA	NA
277180	NA	NA
277200	NA	NA
277300	NA	NA
277320	NA	NA
277350	NA	NA
277380	NA	NA
277400	NA	NA
277410	NA	NA
277420	NA	NA
277440	NA	NA
277450	NA	NA
277460	NA	NA
277465	NA	NA
277470	NA	NA
277480	NA	NA
277580	NA	NA
277590	NA	NA
277600	NA	NA
277610	NA	NA
277700	NA	NA
277720	NA	NA
277730	NA	NA
277740	NA	NA
277900	NA	NA
277950	NA	NA
277970	NA	NA
277990	NA	NA
278000	NA	NA
278100	NA	NA
278150	NA	NA
278200	NA	NA
278205	NA	NA
278250	NA	NA
278300	NA	NA
278400	NA	NA
278600	NA	NA
278700	NA	NA
278720	NA	NA
278730	NA	NA
278740	NA	NA
278750	NA	NA
278760	NA	NA
278780	NA	NA
278800	NA	NA
278810	NA	NA
278850	NA	NA
278900	NA	NA
279000	NA	NA
280000	NA	NA
300000	NA	NA
300001	NA	NA
300002	ARSD	Xp22.3
300003	ARSF	Xp22.3
300004	NA	NA
300005	MECP2	Xq28
300006	CETN2	Xq28
300007	IL9R	Xq28 and Yq12
300008	CLCN5	Xp11.23
300009	NA	NA
300010		NA
300011	ATP7A	Xq21.1
300012	SMARCA1	Xq25
300013	NAA10	Xq28
300014	ATP2B3	Xq28
300015	ASMT	Xp22.3 and Yp11.3
300016	MAGEA1	Xq28
300017	FLNA	Xq28
300018	NA	NA
300019	HCFC1	Xq28
300020	NA	NA
300021	NA	NA
300022	PLXNA3	Xq28
300023	ARHGAP4	Xq28
300024	ZNF157	Xp11.2
300025	CDX4	Xq13.2
300026	NAP1L2	Xq13
300027	RBM3	Xp11.2
300028	ZRSR2	Xp22.1
300029	NA	NA
300030	NA	NA
300031	TMEM185A	Xq28
300032	ATRX	Xq21.1
300033	FOXO4	Xq13.1
300034	AGTR2	Xq22-q23
300035	EFNB1	Xq12
300036	SLC6A8	Xq28
300037	GPC3	Xq26
300038	P2RY4	Xq13
300039	POU3F4	Xq21.1
300040	SMC1A	Xp11.22-p11.21
300041	GUCY2F	Xq22
300042	NA	NA
300043	NA	NA
300044	TKTL1	Xq28
300045	NA	NA
300046	NA	NA
300047	NA	NA
300048	NA	NA
300049	NA	NA
300050	USP11	Xp11.23
300051	GPM6B	Xp22.2
300052	DRP2	Xq22
300053	VAMP7	Xq28 and Yq12
300054	NA	NA
300055	NA	NA
300056	HCCS	Xp22
300057	NA	NA
300058	NA	NA
300059	TMEM187	Xq28
300060	LAGE3	Xq28
300061	ZMYM3	Xq13.1
300062	NA	NA
300063	NA	NA
300064	NA	NA
300065	CENPI	Xq22.1
300066	NA	NA
300067	NA	NA
300068	NA	NA
300069	NA	NA
300070	FGF13	Xq26.3
300071	NA	NA
300072	USP9X	Xp11.4
300073	NA	NA
300074	XCE	Xq13
300075	RPS6KA3	Xp22.2-p22.1
300076	NA	NA
300077	NA	NA
300078	NDUFA1	Xq24
300079	XIAP	Xq25
300080	RBM10	Xp11.3
300081	DNASE1L1	Xq28
300082	NA	NA
300083	PRKX	Xp22.3
300084	NONO	Xq13.1
300085	NA	NA
300086	LPAR4	Xq21.1
300087	NA	NA
300088	NA	NA
300089	IDH3G	Xq28
300090	SSR4	Xq28
300091	VEGFD	Xp22.31
300092	TEX28	Xq28
300093	GABRE	Xq28
300094	NA	NA
300095	SLC16A2	Xq13.2
300096	TSPAN7	Xp11.4
300097	MAGEB1	Xp21.3
300098	MAGEB2	Xp21.3
300099	NA	NA
300100	NA	NA
300101	BMX	Xp22.2
300102	PNPLA4	Xp22.3
